Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C8",0603,3,4.7uF,
"C10, C2, C22, C27",0805,4,0.1uF,
"C11, C14, C18, C23, C26, C30, C31, C32, C33, C51, C6",0603,11,1uF,
"C12, C24, C3",1206,3,68uF,
"C13, C15, C17, C25, C29, C45, C46, C47, C50",0603,9,0.1uF,
"C19, C4, C7",0603,3,10nF,
"C21, C5",0805,2,10pF,
C34,1206,1,4.7uF,
C35,CP_EIA-3528-12_Kemet-T,1,4.7uF,
C42,0805,1,22uF,
C9,0805,1,4.7pF,
"D1, D11, D2, D3, D7",0603,5,150060VS75000,
"D10, D8, D9",Nexperia_CFP3_SOD-123W,3,PMEG10020ELRX,
"D13, D4, D5, D6",0603,4,150060AS75000,
"J1, J2",PinHeader_2x26_P2.54mm_Vertical,2,Conn_02x26_Odd_Even,
"J11, J12, J13",Molex_Pico-Lock_205338-0004_1x04-1MP_P2.00mm_Horizontal,3,Conn_01x04,
"J15, J3, J4, J5, J6, J8",Molex_Pico-Lock_205338-0002_1x02-1MP_P2.00mm_Horizontal,6,Conn_01x02,
L1,L_Coilcraft_XxL4040,1,10uH,
L2,L_Coilcraft_XxL4040,1,8.2uH,
L3,L_Coilcraft_XxL4040,1,4.7uH,
Q1,SOT-23-3,1,BC848ALT1G,
"Q2, Q3",SOT-23-3,2,IRLML2803PBFCT,
"R10, R3, R8",0805,3,1M,
"R11, R12, R14, R16, R17, R27, R28",0603,7,150,
"R13, R30",0603,2,65,
"R19, R20, R22, R23",0805,4,10k,
"R2, R7",0603,2,18.2k,
"R21, R24",0805,2,4.7k,
"R25, R26",0805,2,100k,
"R32, R35, R36, R37, R38, R39, R57, R59",0603,8,10,
R33,2512,1,10m,
R34,0603,1,642k,
"R4, R9",0805,2,243k,
R40,0603,1,412k,
R41,0603,1,0,
"R43, R52, R55",2512,3,40m,
R5,0603,1,110k,
R6,0805,1,412k,
"TP1, TP2, TP3",TestPoint_Keystone_5000-5004_Miniature,3,~,
"U1, U2, U6",MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm_ThermalVias,3,LT8610,
"U10, U14, U3, U5, U9",SOIC-8_3.9x4.9mm_P1.27mm,5,~,
U12,LGA-77,1,LTM8062AIV-PBF,
"U16, U17, U18, U21",SOIC-8_3.9x4.9mm_P1.27mm,4,INA219AxD,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,1,~,
"U7, U8",TSOP-6_1.65x3.05mm_P0.95mm,2,~,
