Designator,Mid X,Mid Y,Rotation,Layer
C1,190.153553,-125.97951,90.0,top
C10,216.4999,-107.835308,270.0,top
C11,217.7829,-104.952474,0.0,top
C12,209.524787,-110.920396,270.0,top
C13,236.576009,-112.674589,270.0,top
C14,227.405051,-110.232193,270.0,top
C15,197.025,-86.8,180.0,top
C17,236.671343,-130.644133,270.0,top
C18,227.5529,-128.177669,270.0,top
C19,207.047438,-120.5,0.0,top
C2,198.331134,-126.775308,270.0,top
C20,208.215838,-125.858836,270.0,top
C21,216.547038,-120.778749,90.0,top
C22,216.496238,-126.654634,270.0,top
C23,217.867838,-123.7718,0.0,top
C24,209.575955,-129.796704,270.0,top
C25,236.637136,-121.440019,270.0,top
C26,227.440013,-119.018809,270.0,top
C27,182.753,-66.421,0.0,top
C29,236.591356,-103.708249,270.0,top
C3,191.424619,-129.886222,270.0,top
C30,227.402567,-101.263908,270.0,top
C31,232.905969,-88.733336,90.0,top
C32,232.905365,-91.912868,270.0,bottom
C33,232.884986,-74.128336,90.0,top
C34,218.76,-77.57,90.0,top
C35,210.876905,-91.4,180.0,top
C4,188.881954,-121.962074,0.0,top
C42,181.229,-68.58,0.0,top
C45,232.884986,-77.303336,270.0,top
C46,232.905365,-88.733336,90.0,bottom
C47,232.905969,-91.908336,270.0,top
C5,198.265904,-120.919423,90.0,top
C50,192.270176,-74.124922,90.0,top
C51,192.281294,-77.212372,90.0,top
C6,199.709173,-124.235308,180.0,bottom
C7,206.9749,-101.7,0.0,top
C8,208.187024,-107.035281,90.0,top
C9,216.443285,-101.956618,90.0,top
D1,251.587,-103.403334,180.0,top
D10,238.726542,-85.131038,0.0,top
D11,251.5875,-130.238334,180.0,top
D13,251.587,-113.351667,180.0,top
D2,251.587,-110.035556,180.0,top
D3,251.587,-106.719445,180.0,top
D4,251.587,-119.983889,180.0,top
D5,251.587,-116.667778,180.0,top
D6,251.587,-123.3,180.0,top
D7,251.5875,-126.838334,180.0,top
D8,238.748856,-95.448418,0.0,bottom
D9,238.676,-70.826336,0.0,top
J1,212.72,-61.63,90.0,top
J11,247.565798,-73.285447,90.0,top
J12,247.564916,-87.412707,270.0,bottom
J13,247.572101,-87.416875,90.0,top
J15,177.6,-123.2,270.0,top
J2,212.72,-56.35,90.0,top
J3,247.506968,-74.575906,270.0,bottom
J4,177.673,-75.057,270.0,top
J5,177.6,-109.36,270.0,top
J6,177.673,-85.201,270.0,top
J8,177.6,-99.2,270.0,top
L1,194.977954,-129.836074,270.0,top
L2,213.0709,-110.896074,270.0,top
L3,213.143438,-129.7154,270.0,top
Q1,198.831366,-100.874131,90.0,top
Q2,190.304311,-111.729157,180.0,top
Q3,190.334127,-100.485837,180.0,top
R10,218.598528,-120.798749,90.0,top
R11,251.569889,-103.403334,180.0,bottom
R12,251.569889,-110.026666,180.0,bottom
R13,251.569889,-106.715,180.0,bottom
R14,251.569889,-119.961664,180.0,bottom
R16,251.5875,-126.838334,180.0,bottom
R17,251.5875,-130.238334,180.0,bottom
R19,201.883351,-107.148136,90.0,top
R2,188.881954,-123.486074,180.0,top
R20,195.864884,-100.490377,90.0,top
R21,190.322568,-108.621757,0.0,top
R22,193.598579,-111.753603,270.0,top
R23,193.598579,-100.483644,90.0,top
R24,190.322568,-103.668757,0.0,top
R25,186.330145,-112.514202,0.0,top
R26,186.323,-99.741,180.0,top
R27,251.569889,-116.649998,180.0,bottom
R28,251.569889,-123.27333,180.0,bottom
R3,200.298544,-120.919423,90.0,top
R30,251.569889,-113.338332,180.0,bottom
R32,235.374,-76.569681,0.0,top
R33,186.302648,-75.684185,90.0,top
R34,205.96348,-79.881015,270.0,top
R35,235.374,-74.883135,0.0,top
R36,235.385507,-89.506843,180.0,bottom
R37,235.373999,-91.147363,180.0,bottom
R38,235.374,-91.146336,0.0,top
R39,235.374,-89.495336,0.0,top
R4,196.233264,-120.919423,270.0,top
R40,207.524118,-79.882682,90.0,top
R41,211.351012,-73.589583,180.0,top
R43,239.057,-90.257336,270.0,top
R5,206.9749,-104.5494,180.0,top
R52,239.07192,-90.309616,90.0,bottom
R55,239.001404,-75.9125,270.0,top
R57,189.906014,-76.498822,0.0,top
R59,189.906014,-74.847822,0.0,top
R6,214.3409,-101.979423,270.0,top
R7,207.047438,-123.3654,180.0,top
R8,218.521942,-101.976509,90.0,top
R9,214.464238,-120.798749,270.0,top
TP1,218.985438,-129.9694,0.0,top
TP2,218.793748,-111.285242,0.0,top
TP3,200.692954,-130.090074,0.0,top
U1,194.085,-125.19,270.0,top
U10,232.027538,-120.22671,270.0,top
U12,212.93,-82.0,180.0,top
U14,231.978855,-102.483516,270.0,top
U16,228.271675,-90.372187,90.0,bottom
U17,228.2,-75.7,270.0,top
U18,228.2,-90.384336,270.0,top
U2,212.1909,-106.25,270.0,top
U21,196.9,-75.7,90.0,top
U3,231.978855,-111.446117,270.0,top
U4,197.0,-90.395,90.0,top
U5,196.852441,-106.135555,90.0,top
U6,212.2495,-125.069326,270.0,top
U7,186.311441,-109.437555,0.0,top
U8,186.311441,-102.833555,180.0,top
U9,232.102538,-129.415,270.0,top
