"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","3V3","","","","","~"
"C1","1","1uF,5nF","","","","","~"
"C2","1","10uF","","","","","~"
"C3,C6,C10","3","100nF","","","","","~"
"C5","1","C","","","","","~"
"J1,J2,J3,J4,J5,J6","6","Conn_01x03","","","","","~"
"R1,R2","2","3k","","","","","~"
"R3","1","1M","","","","","~"
"R4,R5,R6,R7","4","62","","","","","~"
"R8,R9","2","10","","","","","~"
"RLink(DNI)?","1","0","","","","","~"
"TP1,TP2","2","TestPoint","","","","","~"
"U1","1","BEAGLEBONEBLACK","","","","BEAGLEBONEBLACK:MODULE_BEAGLEBONEBLACK",""
"U2","1","Payload","","","","",""
"U3","1","TCAN337G","","","","","http://www.ti.com/lit/ds/symlink/tcan337.pdf"
"U4","1","MCP7940N-xSN","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/20005010F.pdf"
"U5","1","W25N01GVZEIG_TR","","","","W25N01GVZEIG_TR:SON127P800X600X80-9N",""
"U6","1","MAX706RESA+T","","","","21-0041B_8_MXM","MAX706RESA+T"
"U7","1","TMP36xS","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/TMP35_36_37.pdf"
"XTAL1","1","SIT1533AI-H4-DCC-32.768E","","","","XTAL4_SiT1533_SIT","SIT1533AI-H4-DCC-32.768E"
